,pollster,sponsors,pollster_partisan,sponsoring_candidate_name,sponsoring_candidate_party,geo,margin,start_date,end_date,results,population,sample_size,race_type,ready_at,is_select,url,office_type,nyt_race_id,nyt_matchup_id,fte_question_id,matchup_type,matchup_id,is_partisan,poll_weight_no_time_decay
40,Trafalgar Group,[],REP,,,WI,1,2024-08-28,2024-08-30,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 47, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 46, 'leader': False}]",lv,1083,G,2024-08-31 13:31:46,False,https://www.thetrafalgargroup.org/news/wi-pres-0831/,P,WI-G-P-2024-11-05,WI-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207580.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,True,0.0617
41,Quantus Polls and News,[],,,,TX,8,2024-08-29,2024-08-30,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 52, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 44, 'leader': False}, {'answer': 'none', 'candidate_name': 'None', 'party': 'UNK', 'pct': 4, 'leader': False}]",rv,1000,G,2024-08-30 21:16:50,False,https://quantus.substack.com/p/trump-and-cruz-lead-comfortably-in?r=42r82k,P,TX-G-P-2024-11-05,TX-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207574.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0497
42,ActiVote,[],,,,TN,26,2024-07-27,2024-08-29,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 63, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 37, 'leader': False}]",lv,400,G,2024-08-30 10:02:02,False,https://www.activote.net/trump-far-ahead-in-tennessee/,P,TN-G-P-2024-11-05,TN-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207480.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0314
43,ActiVote,[],,,,IL,16,2024-08-06,2024-08-29,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 58, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 42, 'leader': False}]",lv,400,G,2024-08-30 10:02:02,False,https://www.activote.net/harris-leads-by-double-digits-in-illinois/,P,IL-G-P-2024-11-05,IL-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207481.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0314
44,CNN/SSRS,"[{'sponsor_name': 'CNN', 'sponsor_partisan': None}]",,,,WI,6,2024-08-23,2024-08-29,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 50, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 44, 'leader': False}, {'answer': 'Oliver', 'candidate_name': 'Chase Oliver', 'party': 'LIB', 'pct': 2, 'leader': False}, {'answer': 'other', 'candidate_name': 'Someone Else', 'party': 'UNK', 'pct': 2, 'leader': False}, {'answer': 'Stein', 'candidate_name': 'Jill Stein', 'party': 'GRE', 'pct': 1, 'leader': False}]",lv,976,G,2024-09-04 07:13:59,True,https://s3.documentcloud.org/documents/25088820/cnn-polls-across-six-battlegrounds-find-georgia-and-pennsylvania-are-key-toss-ups.pdf,P,WI-G-P-2024-11-05,WI-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.1192
45,CNN/SSRS,"[{'sponsor_name': 'CNN', 'sponsor_partisan': None}]",,,,PA,0,2024-08-23,2024-08-29,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 47, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 47, 'leader': True}, {'answer': 'other', 'candidate_name': 'Someone Else', 'party': 'UNK', 'pct': 2, 'leader': False}, {'answer': 'Stein', 'candidate_name': 'Jill Stein', 'party': 'GRE', 'pct': 1, 'leader': False}, {'answer': 'Oliver', 'candidate_name': 'Chase Oliver', 'party': 'LIB', 'pct': 1, 'leader': False}, {'answer': 'none', 'candidate_name': 'None', 'party': 'UNK', 'pct': 1, 'leader': False}, {'answer': 'undecided', 'candidate_name': ""Don't know"", 'party': 'UNK', 'pct': 1, 'leader': False}]",lv,789,G,2024-09-04 07:13:27,True,https://s3.documentcloud.org/documents/25088820/cnn-polls-across-six-battlegrounds-find-georgia-and-pennsylvania-are-key-toss-ups.pdf,P,PA-G-P-2024-11-05,PA-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.1072
46,CNN/SSRS,"[{'sponsor_name': 'CNN', 'sponsor_partisan': None}]",,,,MI,5,2024-08-23,2024-08-29,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 48, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 43, 'leader': False}, {'answer': 'Kennedy', 'candidate_name': 'Robert F. Kennedy', 'party': 'IND', 'pct': 4, 'leader': False}, {'answer': 'other', 'candidate_name': 'Someone Else', 'party': 'UNK', 'pct': 3, 'leader': False}, {'answer': 'Oliver', 'candidate_name': 'Chase Oliver', 'party': 'LIB', 'pct': 1, 'leader': False}, {'answer': 'none', 'candidate_name': 'None', 'party': 'UNK', 'pct': 1, 'leader': False}]",lv,708,G,2024-09-04 07:12:37,True,https://s3.documentcloud.org/documents/25088820/cnn-polls-across-six-battlegrounds-find-georgia-and-pennsylvania-are-key-toss-ups.pdf,P,MI-G-P-2024-11-05,MI-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.1016
47,CNN/SSRS,"[{'sponsor_name': 'CNN', 'sponsor_partisan': None}]",,,,NV,1,2024-08-23,2024-08-29,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 48, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 47, 'leader': False}, {'answer': 'Stein', 'candidate_name': 'Jill Stein', 'party': 'GRE', 'pct': 1, 'leader': False}, {'answer': 'Oliver', 'candidate_name': 'Chase Oliver', 'party': 'LIB', 'pct': 1, 'leader': False}, {'answer': 'none', 'candidate_name': 'None', 'party': 'UNK', 'pct': 1, 'leader': False}, {'answer': 'other', 'candidate_name': 'Someone Else', 'party': 'UNK', 'pct': 1, 'leader': False}]",lv,626,G,2024-09-04 07:10:26,True,https://s3.documentcloud.org/documents/25088820/cnn-polls-across-six-battlegrounds-find-georgia-and-pennsylvania-are-key-toss-ups.pdf,P,NV-G-P-2024-11-05,NV-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0955
48,CNN/SSRS,"[{'sponsor_name': 'CNN', 'sponsor_partisan': None}]",,,,AZ,5,2024-08-23,2024-08-29,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 49, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 44, 'leader': False}, {'answer': 'other', 'candidate_name': 'Someone Else', 'party': 'UNK', 'pct': 3, 'leader': False}, {'answer': 'Stein', 'candidate_name': 'Jill Stein', 'party': 'GRE', 'pct': 2, 'leader': False}, {'answer': 'Oliver', 'candidate_name': 'Chase Oliver', 'party': 'LIB', 'pct': 1, 'leader': False}, {'answer': 'none', 'candidate_name': 'None', 'party': 'UNK', 'pct': 1, 'leader': False}]",lv,682,G,2024-09-04 07:09:32,True,https://s3.documentcloud.org/documents/25088820/cnn-polls-across-six-battlegrounds-find-georgia-and-pennsylvania-are-key-toss-ups.pdf,P,AZ-G-P-2024-11-05,AZ-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0997
49,CNN/SSRS,"[{'sponsor_name': 'CNN', 'sponsor_partisan': None}]",,,,GA,1,2024-08-23,2024-08-29,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 48, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 47, 'leader': False}, {'answer': 'other', 'candidate_name': 'Someone Else', 'party': 'UNK', 'pct': 2, 'leader': False}, {'answer': 'Stein', 'candidate_name': 'Jill Stein', 'party': 'GRE', 'pct': 1, 'leader': False}, {'answer': 'West', 'candidate_name': 'Cornel West', 'party': 'IND', 'pct': 1, 'leader': False}, {'answer': 'Oliver', 'candidate_name': 'Chase Oliver', 'party': 'LIB', 'pct': 1, 'leader': False}]",lv,617,G,2024-09-04 07:08:20,True,https://s3.documentcloud.org/documents/25088820/cnn-polls-across-six-battlegrounds-find-georgia-and-pennsylvania-are-key-toss-ups.pdf,P,GA-G-P-2024-11-05,GA-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0948
